iso3c,median_age,gdp,uhc,vacc,excess_mort,vax_day,continent
ALB,35.943,15492.067,64,108.94973,5878.954841511182,2023-05-14,Europe
DZA,27.983,11198.233,74,33.5715,2814.915445731554,2022-09-04,Africa
ARG,31.739,22461.441,79,254.6388,4229.769434939732,2023-05-05,Americas
ARM,35.815,16057.007,68,74.87284,8107.977470919936,2023-05-14,Asia
AUS,37.512,51090.26,87,249.96143,1131.941808380318,2023-03-24,Oceania
AUT,42.832,55867.184,85,225.74947,2751.158245416805,2023-05-05,Europe
AZE,32.062,15094.284,66,134.59639,3807.066014068007,2022-08-28,Asia
BRB,38.652,15417.297,77,135.20459,1483.0883635503899,2023-05-05,Americas
BEL,41.151,53287.152,86,253.77055,2388.8936441205083,2023-05-05,Europe
BIH,44.559,16737.227,66,60.064495,6998.629564793744,2022-01-29,Europe
BRA,33.506,15093.465,80,231.2989,3831.655117037898,2023-03-22,Americas
BRN,31.276,58669.902,78,283.718,1181.5960661403517,2023-04-28,Asia
BGR,44.154,26961.291,73,67.57326,9903.222130940365,2023-05-05,Europe
CAN,40.253,49296.38,91,252.04568,1508.5867767898492,2023-05-05,Americas
CHL,35.526,25886.121,82,320.60934,3235.7014262005873,2023-02-08,Americas
CRI,33.536,22070.922,81,258.73166,1653.3455712498496,2023-04-21,Americas
HRV,44.611,34302.348,80,137.23495,5634.611028105838,2023-05-07,Europe
CYP,37.339,44996.316,81,191.26498,1715.7026714748556,2023-02-22,Asia
CZE,42.645,41052.348,84,174.61319,4360.46979101529,2023-05-05,Europe
DNK,41.216,59935.12,82,253.3389,731.3407126236423,2023-05-05,Europe
DOM,27.317,19338.016,77,145.06049,709.5884887104221,2023-04-27,Americas
ECU,27.975,10859.218,77,221.97272,4432.582458454198,2023-03-31,Americas
EGY,23.813,12780.76,70,99.70384,2987.2680734789137,2023-04-25,Africa
EST,41.625,37711.82,79,156.42986,3288.294951003799,2023-05-05,Europe
FIN,42.526,49275.152,86,237.23213,2051.0945105536102,2023-05-03,Europe
FRA,41.567,45904.41,85,233.03691,1832.9325400783453,2023-05-05,Europe
GEO,36.634,17078.342,68,77.2291,7018.953057261795,2022-10-13,Asia
DEU,45.024,53969.625,88,228.60042,2444.5862377135586,2023-04-07,Europe
GRC,45.391,31704.426,77,212.45598,3740.988468171577,2023-05-05,Europe
HUN,42.993,35356.777,79,172.45674,3963.8903680110548,2022-12-04,Europe
ISL,35.747,55567.438,89,237.51314,1325.1749062893914,2023-12-23,Europe
IRL,37.997,112445.42,83,217.75464,1788.406779610767,2023-05-05,Europe
ISR,29.086,44393.3,85,204.86601,1366.959653814082,2023-05-04,Asia
ITA,47.116,44292.19,84,242.52943,4122.403498029378,2023-05-05,Europe
JPN,48.548,41837.91,83,306.99634,1175.9561345571353,2023-05-05,Asia
JOR,23.943,9490.667,65,89.35444,1475.3719887529912,2022-08-21,Asia
KAZ,29.348,26093.295,80,191.4467,4064.7515015126774,2023-04-30,Asia
KWT,33.463,49400.355,78,179.97406,1554.7253715107072,2023-05-03,Asia
KGZ,24.975,5070.1504,69,50.058642999999996,2043.4869763818008,2023-05-05,Asia
LVA,42.946,32992.383,75,158.40149,5640.2182554019155,2023-12-23,Europe
LTU,42.633,39955.246,75,161.37582,8733.1860238523,2023-05-05,Europe
LUX,38.676,117746.99,83,210.39543,-451.8949356233271,2023-03-25,Europe
MYS,29.573,28383.62,76,209.28961,1308.2991071136125,2023-05-05,Asia
MLT,39.746,48641.85,85,261.424,1403.607849533205,2023-05-02,Europe
MUS,36.513,22841.35,66,204.92033,1263.4926056816403,2023-05-07,Africa
MEX,28.528,20254.781,75,173.51186,5259.719142690051,2022-10-07,Americas
MDA,37.478,13308.417,71,75.259995,5206.616947796611,2023-05-14,Europe
MNG,26.617,12073.245,65,167.39867,110.63613196774925,2023-03-17,Asia
MNE,39.08,22108.73,72,110.49719,5125.378017089172,2022-08-26,Europe
NLD,41.463,59249.168,85,222.0563,2523.756483174467,2023-05-05,Europe
NZL,37.068,45185.312,85,240.599,-14.324568700367525,2023-05-02,Oceania
MKD,39.91,17128.76,74,101.236305,7856.371646787512,2023-05-07,Europe
NOR,39.436,67296.16,87,222.57681,1264.2081251908762,2022-11-13,Europe
OMN,28.973,35336.895,70,150.27919,863.5979031324267,2022-10-25,Asia
