iso3c,median_age,vax_day,vacc,excess_mort,uhc,gdp
AFG,16.752,2023-05-03,41.693027,NA,41,NA
ALB,35.943,2023-05-14,108.94973,5878.954841511182,64,15492.067
DZA,27.983,2022-09-04,33.5715,2814.915445731554,74,11198.233
AND,42.832,2023-05-21,197.00835,NA,79,NA
AGO,16.39,2023-05-07,71.2857,NA,37,5906.1157
ATG,35.072,2022-09-16,147.02264,NA,76,22321.87
ARG,31.739,2023-05-05,254.6388,4229.769434939732,79,22461.441
ARM,35.815,2023-05-14,74.87284,8107.977470919936,68,16057.007
AUS,37.512,2023-03-24,249.96143,1131.941808380318,87,51090.26
AUT,42.832,2023-05-05,225.74947,2751.158245416805,85,55867.184
AZE,32.062,2022-08-28,134.59639,3807.066014068007,66,15094.284
BHS,34.234,2023-05-12,92.15559,NA,77,34663.496
BHR,31.683,2022-12-21,226.71835,NA,76,51854.715
BGD,24.99,2023-05-06,211.35286,NA,52,6263.0044
BRB,38.652,2023-05-05,135.20459,1483.0883635503899,77,15417.297
BLR,40.192,2023-05-14,239.80295,NA,79,19092.111
BEL,41.151,2023-05-05,253.77055,2388.8936441205083,86,53287.152
BLZ,25.521,2023-04-21,126.81028,NA,68,9473.706
BEN,17.646,2022-12-18,30.760847,NA,38,3435.1716
BTN,28.81,2022-10-30,257.57132,NA,60,NA
BOL,24.392,2022-10-07,121.63899,NA,65,8244.235
BIH,44.559,2022-01-29,60.064495,6998.629564793744,66,16737.227
BWA,22.604,2023-05-07,129.99194,NA,55,15518.651
BRA,33.506,2023-03-22,231.2989,3831.655117037898,80,15093.465
BRN,31.276,2023-04-28,283.718,1181.5960661403517,78,58669.902
BGR,44.154,2023-05-05,67.57326,9903.222130940365,73,26961.291
BFA,17.041,2023-03-19,29.650358,NA,40,2158.8584
BDI,15.672,2023-05-07,0.2808852,NA,41,708.1783
KHM,25.596,2023-05-05,272.7681,NA,58,4533.8643
CMR,17.623,2023-05-07,17.135962,NA,44,3723.5322
CAN,40.253,2023-05-05,252.04568,1508.5867767898492,91,49296.38
CPV,27.322,2022-09-25,165.45262,NA,71,7379.2476
CAF,14.298,2023-04-30,56.75044,NA,32,823.9822
TCD,15.102,2023-05-14,46.316196,NA,29,1412.6708
CHL,35.526,2023-02-08,320.60934,3235.7014262005873,82,25886.121
CHN,38.534,2023-04-20,246.76755,NA,81,18187.842
COL,31.181,2023-04-07,174.93275,NA,80,15616.752
COM,20.102,2022-10-02,100.09938,NA,48,3245.7688
COG,18.202,2022-07-31,13.806052,NA,41,3670.1997
CRI,33.536,2023-04-21,258.73166,1653.3455712498496,81,22070.922
CIV,17.992,2023-02-19,83.118706,NA,43,5537.3696
HRV,44.611,2023-05-07,137.23495,5634.611028105838,80,34302.348
CUB,41.505,2023-05-05,399.0422,4941.433574880742,83,NA
CYP,37.339,2023-02-22,191.26498,1715.7026714748556,81,44996.316
CZE,42.645,2023-05-05,174.61319,4360.46979101529,84,41052.348
COD,15.766,2023-04-16,16.014336,NA,42,1132.6542
DNK,41.216,2023-05-05,253.3389,731.3407126236423,82,59935.12
DJI,24.085,2023-04-18,34.535484,NA,44,4989.4087
DMA,35.295,2022-10-07,101.19222,NA,49,11463.598
DOM,27.317,2023-04-27,145.06049,709.5884887104221,77,19338.016
TLS,20.64,2023-05-02,147.30559,NA,52,3943.0925
ECU,27.975,2023-03-31,221.97272,4432.582458454198,77,10859.218
EGY,23.813,2023-04-25,99.70384,2987.2680734789137,70,12780.76
SLV,26.51,2022-10-02,179.75488000000001,NA,78,9396.014
GNQ,21.016,2022-07-24,27.098667,NA,46,14918.297
ERI,18.405,NA,NA,NA,45,NA
EST,41.625,2023-05-05,156.42986,3288.294951003799,79,37711.82
SWZ,21.768,2023-05-07,70.04728,NA,56,9058.583
ETH,18.528,2023-05-07,43.100986,NA,35,2381.1658
