iso3c,cum_excess_per_million_proj_all_ages
ALB,5878.469702016049
DZA,2814.3849553592677
AND,1773.4039
ATG,-654.30273
ARG,4230.435649936981
ARM,8107.616889325264
ABW,3305.7075
AUS,1133.7054969195692
AUT,2751.317796430942
AZE,3806.6845004838638
BHS,2630.4177
BRB,1486.9618831712473
BLR,3259.745
BEL,2388.511451836569
BLZ,1799.2277
BMU,2794.088
BTN,302.12527
BOL,5224.8447
BIH,6996.953068891427
BRA,3832.4595652423322
BRN,1181.7659258452077
BGR,9898.451259046145
CAN,1508.5362982535635
CPV,1312.6262
CHL,3236.430331137126
COL,3681.4817
CRI,1654.341880120697
HRV,5632.939052637921
CUB,4940.592591694098
CYP,1716.0113234727878
CZE,4357.688809747251
DNK,730.8973698727151
DOM,709.4549235549798
ECU,4433.535069888158
EGY,2987.8326779331896
SLV,753.09076
EST,3286.644471890722
FRO,-667.1503271602066
FJI,2112.3386
FIN,2051.3973127313457
FRA,1832.0177935635963
GUF,870.0987535303967
PYF,1469.1863
GEO,7018.603056504639
DEU,2444.2382710285237
GIB,599.42505
GRC,3740.784615165875
GRL,-2299.2289247058366
GLP,3709.966813392002
GTM,2893.977
HKG,2597.39720369061
HUN,3961.6249859496415
ISL,1326.001057830767
IRN,3064.1272
IRL,1789.545355767758
ISR,1367.2900233525456
ITA,4122.246452033752
JAM,1740.7622
JPN,1177.1309967547672
JOR,1475.4968681033984
KAZ,4063.282394006728
XKX,2888.213892724782
KWT,1554.5227819708152
KGZ,2043.7341008027797
LVA,5637.645403892038
LBN,2354.6365
LIE,1475.9573517480096
LTU,8733.056638933962
LUX,-454.1685859729475
MAC,1822.936783337516
MYS,1308.8592526765656
MDV,1109.1743
MLT,1403.663932583528
MTQ,3460.9870512725006
MUS,1260.9529758216472
MYT,1502.124283217077
MEX,5258.564704888465
MDA,5206.13674527126
MCO,5897.3447
MNG,109.69927517333173
MNE,5123.874901625951
NAM,1225.8562
NLD,2524.2377562817696
NCL,1523.263241973443
NZL,-14.008229345402576
NIC,2574.0046
MKD,7856.393051089803
NOR,1264.6741699019171
OMN,863.128375932879
PSE,922.9372
PAN,1724.4185
PRY,4371.826717124886
PER,5901.3433000000005
PHL,2304.441374114606
POL,4148.031207633036
PRT,2916.0424021334697
PRI,3247.7014362609716
QAT,566.8111693136641
REU,1093.3468815370315
ROU,5393.493679251556
RUS,8887.027014599966
KNA,5249.446247460188
VCT,1232.5092
SMR,4104.797451902085
SRB,8307.661343747837
SYC,-733.1941259767837
SGP,1183.4145874178053
SVK,5160.875864182761
SVN,2800.9997790148805
ZAF,4838.498524794028
KOR,1419.3134016028782
ESP,2783.59515568348
SUR,3481.618
SWE,1487.1778242898222
CHE,2050.8840886040407
TWN,1193.757750637973
TJK,1522.2467
THA,2390.3100665659567
TUN,2180.3961727024084
TUR,3202.5162726121557
UKR,4533.1055
ARE,386.49677
GBR,3067.280389238027
USA,3824.8917583805805
URY,2146.024187660989
UZB,1489.0134841049223
