iso3c,Entity,Day_max,vacc_per_100_max,Day_near,vacc_per_100_near,same_day,delta_value,delta_abs,day_diff
TKM,Turkmenistan,2023-08-06,232.02643,2023-02-05,180.36179,FALSE,-51.66463999999999,51.66463999999999,-182
JPN,Japan,2023-12-31,346.692,2023-05-05,306.99634,FALSE,-39.69566000000003,39.69566000000003,-240
DJI,Djibouti,2023-12-31,63.652184,2023-04-18,34.535484,FALSE,-29.1167,29.1167,-257
ESP,Spain,2023-12-23,249.28398,2023-04-26,221.20732,FALSE,-28.076660000000004,28.076660000000004,-241
TUN,Tunisia,2023-12-31,136.58618,2023-05-03,109.3199,FALSE,-27.26628000000001,27.26628000000001,-242
UZB,Uzbekistan,2023-12-23,240.24174,2023-04-16,216.97191,FALSE,-23.269829999999985,23.269829999999985,-251
CHL,Chile,2023-12-29,341.96692,2023-02-08,320.60934,FALSE,-21.35758000000004,21.35758000000004,-324
SWE,Sweden,2024-02-26,269.97156,2023-05-08,249.2067,FALSE,-20.76486,20.76486,-294
NZL,New Zealand,2024-07-28,260.78082,2023-05-02,240.599,FALSE,-20.181820000000016,20.181820000000016,-453
SLE,Sierra Leone,2023-07-30,110.62158,2023-04-30,91.198296,FALSE,-19.423283999999995,19.423283999999995,-91
CUB,Cuba,2024-04-12,415.88147,2023-05-05,399.0422,FALSE,-16.83927,16.83927,-343
MOZ,Mozambique,2023-07-02,107.02658,2023-04-23,90.20492,FALSE,-16.821659999999994,16.821659999999994,-70
BEL,Belgium,2024-02-11,270.31345,2023-05-05,253.77055,FALSE,-16.542900000000003,16.542900000000003,-282
NOR,Norway,2023-12-23,238.61334,2022-11-13,222.57681,FALSE,-16.03653,16.03653,-405
AUS,Australia,2023-12-31,265.96994,2023-03-24,249.96143,FALSE,-16.00851,16.00851,-282
AFG,Afghanistan,2023-12-31,56.59291,2023-05-03,41.693027,FALSE,-14.899883000000003,14.899883000000003,-242
BRA,Brazil,2023-12-29,245.46902,2023-03-22,231.2989,FALSE,-14.170119999999997,14.170119999999997,-282
CAN,Canada,2024-07-24,265.0021,2023-05-05,252.04568,FALSE,-12.95641999999998,12.95641999999998,-446
SDN,Sudan,2023-12-31,58.04003,2023-04-02,45.76186,FALSE,-12.278170000000003,12.278170000000003,-273
ETH,Ethiopia,2023-05-28,54.916607,2023-05-07,43.100986,FALSE,-11.815621,11.815621,-21
ZWE,Zimbabwe,2023-12-31,86.72014,2022-10-09,76.063896,FALSE,-10.656244000000001,10.656244000000001,-448
GIN,Guinea,2023-09-24,85.7303,2023-04-02,75.73914,FALSE,-9.991159999999994,9.991159999999994,-175
CYP,Cyprus,2023-12-23,201.15326,2023-02-22,191.26498,FALSE,-9.88827999999998,9.88827999999998,-304
GHA,Ghana,2023-07-02,77.30161,2023-03-26,67.52579,FALSE,-9.775819999999996,9.775819999999996,-98
ITA,Italy,2023-12-23,252.13652,2023-05-05,242.52943,FALSE,-9.60709,9.60709,-232
CAF,Central African Republic,2023-09-03,65.559494,2023-04-30,56.75044,FALSE,-8.809054000000003,8.809054000000003,-126
CRI,Costa Rica,2023-10-06,267.16968,2023-04-21,258.73166,FALSE,-8.438020000000051,8.438020000000051,-168
BLR,Belarus,2023-12-23,248.17184,2023-05-14,239.80295,FALSE,-8.368889999999993,8.368889999999993,-223
MMR,Myanmar,2023-08-21,173.88893,2023-05-02,166.40672,FALSE,-7.482209999999981,7.482209999999981,-111
NGA,Nigeria,2023-11-05,59.622444,2023-03-19,52.25471,FALSE,-7.367733999999999,7.367733999999999,-231
PAN,Panama,2023-12-29,209.08322,2023-05-12,202.0782,FALSE,-7.005020000000002,7.005020000000002,-231
AGO,Angola,2023-12-31,78.06682,2023-05-07,71.2857,FALSE,-6.781120000000001,6.781120000000001,-238
SOM,Somalia,2023-07-25,59.29613,2023-04-30,53.04969,FALSE,-6.24644,6.24644,-86
PER,Peru,2023-12-10,273.0736,2023-05-05,267.08426,FALSE,-5.989340000000027,5.989340000000027,-219
URY,Uruguay,2023-12-29,266.5211,2023-08-12,260.96063,FALSE,-5.560470000000009,5.560470000000009,-139
FRA,France,2023-12-23,238.48257,2023-05-05,233.03691,FALSE,-5.445660000000004,5.445660000000004,-232
BFA,Burkina Faso,2023-07-23,35.068623,2023-03-19,29.650358,FALSE,-5.418265000000002,5.418265000000002,-126
MLT,Malta,2024-03-19,266.71887,2023-05-02,261.424,FALSE,-5.294870000000003,5.294870000000003,-322
KHM,Cambodia,2023-12-31,278.03415,2023-05-05,272.7681,FALSE,-5.266050000000007,5.266050000000007,-240
GNB,Guinea-Bissau,2023-10-15,43.73003,2023-04-23,38.484196,FALSE,-5.245834000000002,5.245834000000002,-175
ZAF,South Africa,2023-09-24,67.00845,2023-04-30,62.221874,FALSE,-4.786575999999997,4.786575999999997,-147
EST,Estonia,2024-08-05,160.84238,2023-05-05,156.42986,FALSE,-4.412520000000001,4.412520000000001,-458
CZE,Czechia,2024-07-31,178.45706,2023-05-05,174.61319,FALSE,-3.8438700000000097,3.8438700000000097,-453
ARM,Armenia,2023-10-01,78.341225,2023-05-14,74.87284,FALSE,-3.468384999999998,3.468384999999998,-140
GRC,Greece,2024-06-26,215.7793,2023-05-05,212.45598,FALSE,-3.3233199999999954,3.3233199999999954,-418
TCD,Chad,2023-12-31,49.588768,2023-05-14,46.316196,FALSE,-3.272572000000004,3.272572000000004,-231
PRY,Paraguay,2023-12-29,147.25108,2023-05-12,144.15503,FALSE,-3.096049999999991,3.096049999999991,-231
HKG,Hong Kong,2024-07-27,281.44434,2023-05-05,278.38638,FALSE,-3.057960000000037,3.057960000000037,-449
ARG,Argentina,2024-01-27,257.6171,2023-05-05,254.6388,FALSE,-2.97829999999999,2.97829999999999,-267
NPL,Nepal,2023-11-23,210.75792,2023-05-02,207.79872,FALSE,-2.95920000000001,2.95920000000001,-205
SLV,El Salvador,2023-12-29,182.46611,2022-10-02,179.75488000000001,FALSE,-2.711229999999972,2.711229999999972,-453
NIC,Nicaragua,2023-08-11,230.40475,2023-05-05,227.74101,FALSE,-2.6637400000000184,2.6637400000000184,-98
KGZ,Kyrgyzstan,2023-09-08,52.63721,2023-05-05,50.058642999999996,FALSE,-2.5785670000000067,2.5785670000000067,-126
COD,Democratic Republic of Congo,2023-06-04,18.368385,2023-04-16,16.014336,FALSE,-2.354049,2.354049,-49
ISR,Israel,2023-12-23,207.09949,2023-05-04,204.86601,FALSE,-2.2334800000000143,2.2334800000000143,-233
BGD,Bangladesh,2024-07-01,213.56247,2023-05-06,211.35286,FALSE,-2.209609999999998,2.209609999999998,-422
LTU,Lithuania,2024-08-12,163.47127,2023-05-05,161.37582,FALSE,-2.0954499999999996,2.0954499999999996,-465
FIN,Finland,2024-01-09,239.29619,2023-05-03,237.23213,FALSE,-2.0640599999999836,2.0640599999999836,-251
HRV,Croatia,2023-12-23,139.13292,2023-05-07,137.23495,FALSE,-1.897970000000015,1.897970000000015,-230
MWI,Malawi,2023-09-24,41.344086,2023-05-07,39.450436,FALSE,-1.8936499999999938,1.8936499999999938,-140
AIA,Anguilla,2023-12-29,175.07393,2023-03-10,173.24321,FALSE,-1.8307199999999852,1.8307199999999852,-294
BGR,Bulgaria,2024-06-29,69.24566,2023-05-05,67.57326,FALSE,-1.6723999999999961,1.6723999999999961,-421
POL,Poland,2023-12-23,152.751,2023-05-05,151.08115,FALSE,-1.6698499999999967,1.6698499999999967,-232
HND,Honduras,2023-08-11,163.17905,2023-06-02,161.52267,FALSE,-1.6563799999999844,1.6563799999999844,-70
TON,Tonga,2023-06-30,194.88925,2023-04-11,193.43379,FALSE,-1.4554600000000164,1.4554600000000164,-80
SEN,Senegal,2023-12-31,18.028952,2023-05-07,16.635468,FALSE,-1.3934840000000008,1.3934840000000008,-238
SWZ,Eswatini,2023-06-04,71.39142,2023-05-07,70.04728,FALSE,-1.344139999999996,1.344139999999996,-28
DOM,Dominican Republic,2023-12-29,146.30467,2023-04-27,145.06049,FALSE,-1.24418,1.24418,-246
DEU,Germany,2023-12-23,229.81345,2023-04-07,228.60042,FALSE,-1.213029999999975,1.213029999999975,-260
TWN,Taiwan,2023-09-24,291.02765,2023-04-27,289.97873,FALSE,-1.0489200000000096,1.0489200000000096,-150
PAK,Pakistan,2023-11-14,139.91515,2023-05-03,138.94612,FALSE,-0.9690300000000036,0.9690300000000036,-195
GUY,Guyana,2023-12-29,117.796814,2023-02-17,116.85625,FALSE,-0.9405639999999948,0.9405639999999948,-315
TLS,East Timor,2023-11-22,148.16325,2023-05-02,147.30559,FALSE,-0.8576600000000099,0.8576600000000099,-204
BRB,Barbados,2023-12-29,136.0313,2023-05-05,135.20459,FALSE,-0.8267099999999914,0.8267099999999914,-238
COL,Colombia,2023-12-29,175.75339,2023-04-07,174.93275,FALSE,-0.8206399999999974,0.8206399999999974,-266
ZMB,Zambia,2023-12-31,67.56191,2023-05-22,66.76057,FALSE,-0.8013399999999962,0.8013399999999962,-223
TTO,Trinidad and Tobago,2023-12-29,106.432556,2022-09-21,105.68051,FALSE,-0.7520460000000071,0.7520460000000071,-464
PRT,Portugal,2023-09-29,271.8114,2023-05-05,271.09616,FALSE,-0.7152399999999943,0.7152399999999943,-147
HTI,Haiti,2023-12-29,5.912095,2023-04-07,5.2876906,FALSE,-0.6244043999999995,0.6244043999999995,-266
NAM,Namibia,2023-11-12,34.81151,2023-05-07,34.267258,FALSE,-0.5442520000000002,0.5442520000000002,-189
CMR,Cameroon,2023-10-15,17.66226,2023-05-07,17.135962,FALSE,-0.5262980000000006,0.5262980000000006,-161
MDG,Madagascar,2023-07-30,10.158808,2023-05-07,9.660523,FALSE,-0.498285000000001,0.498285000000001,-84
