Entity,iso3c,Day_max,vacc_per_100_max
Afghanistan,AFG,2023-12-31,56.59291
Albania,ALB,2023-09-10,109.242805
Algeria,DZA,2022-09-04,33.5715
Andorra,AND,2023-09-24,197.02466
Angola,AGO,2023-12-31,78.06682
Anguilla,AIA,2023-12-29,175.07393
Antigua and Barbuda,ATG,2022-09-16,147.02264
Argentina,ARG,2024-01-27,257.6171
Armenia,ARM,2023-10-01,78.341225
Aruba,ABW,2024-03-11,162.26993
Australia,AUS,2023-12-31,265.96994
Austria,AUT,2023-06-30,225.80757
Azerbaijan,AZE,2022-08-28,134.59639
Bahamas,BHS,2023-05-12,92.15559
Bahrain,BHR,2022-12-21,226.71835
Bangladesh,BGD,2024-07-01,213.56247
Barbados,BRB,2023-12-29,136.0313
Belarus,BLR,2023-12-23,248.17184
Belgium,BEL,2024-02-11,270.31345
Belize,BLZ,2023-12-29,126.90687
Benin,BEN,2022-12-18,30.760847
Bermuda,BMU,2023-12-29,211.13907
Bhutan,BTN,2022-10-30,257.57132
Bolivia,BOL,2022-10-07,121.63899
Bonaire Sint Eustatius and Saba,BES,2021-09-01,125.09597
Bosnia and Herzegovina,BIH,2022-01-29,60.064495
Botswana,BWA,2023-12-31,129.99194
Brazil,BRA,2023-12-29,245.46902
British Virgin Islands,VGB,2022-09-16,108.10818
Brunei,BRN,2023-06-30,283.9644
Bulgaria,BGR,2024-06-29,69.24566
Burkina Faso,BFA,2023-07-23,35.068623
Burundi,BDI,2023-12-31,0.317181
Cambodia,KHM,2023-12-31,278.03415
Cameroon,CMR,2023-10-15,17.66226
Canada,CAN,2024-07-24,265.0021
Cape Verde,CPV,2022-09-25,165.45262
Cayman Islands,CYM,2023-12-29,212.4705
Central African Republic,CAF,2023-09-03,65.559494
Chad,TCD,2023-12-31,49.588768
Chile,CHL,2023-12-29,341.96692
China,CHN,2023-04-20,246.76755
Colombia,COL,2023-12-29,175.75339
Comoros,COM,2022-10-02,100.09938
Congo,COG,2022-07-31,13.806052
Cook Islands,COK,2023-02-13,277.03262
Costa Rica,CRI,2023-10-06,267.16968
Cote d'Ivoire,CIV,2023-02-19,83.118706
Croatia,HRV,2023-12-23,139.13292
Cuba,CUB,2024-04-12,415.88147
Curacao,CUW,2023-05-12,140.4492
Cyprus,CYP,2023-12-23,201.15326
Czechia,CZE,2024-07-31,178.45706
Democratic Republic of Congo,COD,2023-06-04,18.368385
Denmark,DNK,2023-09-29,253.46054
Djibouti,DJI,2023-12-31,63.652184
Dominica,DMA,2022-10-07,101.19222
Dominican Republic,DOM,2023-12-29,146.30467
East Timor,TLS,2023-11-22,148.16325
Ecuador,ECU,2023-12-29,222.08992
Egypt,EGY,2023-05-21,100.04909
El Salvador,SLV,2023-12-29,182.46611
Equatorial Guinea,GNQ,2022-07-24,27.098667
Estonia,EST,2024-08-05,160.84238
Eswatini,SWZ,2023-06-04,71.39142
Ethiopia,ETH,2023-05-28,54.916607
Falkland Islands,FLK,2021-04-14,125.37695
Faroe Islands,FRO,2022-02-18,192.25745
Fiji,FJI,2023-05-01,169.14668
Finland,FIN,2024-01-09,239.29619
France,FRA,2023-12-23,238.48257
French Polynesia,PYF,2023-05-01,179.37651
Gabon,GAB,2023-02-05,23.559458
Gambia,GMB,2023-03-19,54.788803
Georgia,GEO,2022-10-13,77.2291
Germany,DEU,2023-12-23,229.81345
Ghana,GHA,2023-07-02,77.30161
Gibraltar,GIB,2022-12-16,352.9271
Greece,GRC,2024-06-26,215.7793
Greenland,GRL,2022-03-14,142.3537
Grenada,GRD,2023-03-17,77.55713
Guatemala,GTM,2023-12-29,114.20672
Guernsey,GGY,2022-12-19,280.048
Guinea,GIN,2023-09-24,85.7303
Guinea-Bissau,GNB,2023-10-15,43.73003
Guyana,GUY,2023-12-29,117.796814
Haiti,HTI,2023-12-29,5.912095
Honduras,HND,2023-08-11,163.17905
Hong Kong,HKG,2024-07-27,281.44434
Hungary,HUN,2022-12-04,172.45674
