Entity,iso3c,Day_near,vacc_per_100_near
Afghanistan,AFG,2023-05-03,41.693027
Albania,ALB,2023-05-14,108.94973
Algeria,DZA,2022-09-04,33.5715
Andorra,AND,2023-05-21,197.00835
Angola,AGO,2023-05-07,71.2857
Anguilla,AIA,2023-03-10,173.24321
Antigua and Barbuda,ATG,2022-09-16,147.02264
Argentina,ARG,2023-05-05,254.6388
Armenia,ARM,2023-05-14,74.87284
Aruba,ABW,2023-05-05,162.05191
Australia,AUS,2023-03-24,249.96143
Austria,AUT,2023-05-05,225.74947
Azerbaijan,AZE,2022-08-28,134.59639
Bahamas,BHS,2023-05-12,92.15559
Bahrain,BHR,2022-12-21,226.71835
Bangladesh,BGD,2023-05-06,211.35286
Barbados,BRB,2023-05-05,135.20459
Belarus,BLR,2023-05-14,239.80295
Belgium,BEL,2023-05-05,253.77055
Belize,BLZ,2023-04-21,126.81028
Benin,BEN,2022-12-18,30.760847
Bermuda,BMU,2023-12-29,211.13907
Bhutan,BTN,2022-10-30,257.57132
Bolivia,BOL,2022-10-07,121.63899
Bonaire Sint Eustatius and Saba,BES,2021-09-01,125.09597
Bosnia and Herzegovina,BIH,2022-01-29,60.064495
Botswana,BWA,2023-05-07,129.99194
Brazil,BRA,2023-03-22,231.2989
British Virgin Islands,VGB,2022-09-16,108.10818
Brunei,BRN,2023-04-28,283.718
Bulgaria,BGR,2023-05-05,67.57326
Burkina Faso,BFA,2023-03-19,29.650358
Burundi,BDI,2023-05-07,0.2808852
Cambodia,KHM,2023-05-05,272.7681
Cameroon,CMR,2023-05-07,17.135962
Canada,CAN,2023-05-05,252.04568
Cape Verde,CPV,2022-09-25,165.45262
Cayman Islands,CYM,2023-04-21,212.01524
Central African Republic,CAF,2023-04-30,56.75044
Chad,TCD,2023-05-14,46.316196
Chile,CHL,2023-02-08,320.60934
China,CHN,2023-04-20,246.76755
Colombia,COL,2023-04-07,174.93275
Comoros,COM,2022-10-02,100.09938
Congo,COG,2022-07-31,13.806052
Cook Islands,COK,2023-02-13,277.03262
Costa Rica,CRI,2023-04-21,258.73166
Cote d'Ivoire,CIV,2023-02-19,83.118706
Croatia,HRV,2023-05-07,137.23495
Cuba,CUB,2023-05-05,399.0422
Curacao,CUW,2023-05-12,140.4492
Cyprus,CYP,2023-02-22,191.26498
Czechia,CZE,2023-05-05,174.61319
Democratic Republic of Congo,COD,2023-04-16,16.014336
Denmark,DNK,2023-05-05,253.3389
Djibouti,DJI,2023-04-18,34.535484
Dominica,DMA,2022-10-07,101.19222
Dominican Republic,DOM,2023-04-27,145.06049
East Timor,TLS,2023-05-02,147.30559
Ecuador,ECU,2023-03-31,221.97272
Egypt,EGY,2023-04-25,99.70384
El Salvador,SLV,2022-10-02,179.75488000000001
Equatorial Guinea,GNQ,2022-07-24,27.098667
Estonia,EST,2023-05-05,156.42986
Eswatini,SWZ,2023-05-07,70.04728
Ethiopia,ETH,2023-05-07,43.100986
Falkland Islands,FLK,2021-04-14,125.37695
Faroe Islands,FRO,2022-02-18,192.25745
Fiji,FJI,2023-05-01,169.14668
Finland,FIN,2023-05-03,237.23213
France,FRA,2023-05-05,233.03691
French Polynesia,PYF,2023-05-01,179.37651
Gabon,GAB,2023-02-05,23.559458
Gambia,GMB,2023-03-19,54.788803
Georgia,GEO,2022-10-13,77.2291
Germany,DEU,2023-04-07,228.60042
Ghana,GHA,2023-03-26,67.52579
Gibraltar,GIB,2022-12-16,352.9271
Greece,GRC,2023-05-05,212.45598
Greenland,GRL,2022-03-14,142.3537
Grenada,GRD,2023-03-17,77.55713
Guatemala,GTM,2023-05-12,114.08698
Guernsey,GGY,2022-12-19,280.048
Guinea,GIN,2023-04-02,75.73914
Guinea-Bissau,GNB,2023-04-23,38.484196
Guyana,GUY,2023-02-17,116.85625
