Entity,Code,Year,Median age - Sex: all - Age: all - Variant: estimates,Median age - Sex: all - Age: all - Variant: medium,time
Afghanistan,AFG,2022,16.752,NA,2022
Albania,ALB,2022,35.943,NA,2022
Algeria,DZA,2022,27.983,NA,2022
Andorra,AND,2022,42.832,NA,2022
Angola,AGO,2022,16.39,NA,2022
Antigua and Barbuda,ATG,2022,35.072,NA,2022
Argentina,ARG,2022,31.739,NA,2022
Armenia,ARM,2022,35.815,NA,2022
Australia,AUS,2022,37.512,NA,2022
Austria,AUT,2022,42.832,NA,2022
Azerbaijan,AZE,2022,32.062,NA,2022
Bahamas,BHS,2022,34.234,NA,2022
Bahrain,BHR,2022,31.683,NA,2022
Bangladesh,BGD,2022,24.99,NA,2022
Barbados,BRB,2022,38.652,NA,2022
Belarus,BLR,2022,40.192,NA,2022
Belgium,BEL,2022,41.151,NA,2022
Belize,BLZ,2022,25.521,NA,2022
Benin,BEN,2022,17.646,NA,2022
Bhutan,BTN,2022,28.81,NA,2022
Bolivia,BOL,2022,24.392,NA,2022
Bosnia and Herzegovina,BIH,2022,44.559,NA,2022
Botswana,BWA,2022,22.604,NA,2022
Brazil,BRA,2022,33.506,NA,2022
Brunei,BRN,2022,31.276,NA,2022
Bulgaria,BGR,2022,44.154,NA,2022
Burkina Faso,BFA,2022,17.041,NA,2022
Burundi,BDI,2022,15.672,NA,2022
Cambodia,KHM,2022,25.596,NA,2022
Cameroon,CMR,2022,17.623,NA,2022
Canada,CAN,2022,40.253,NA,2022
Cape Verde,CPV,2022,27.322,NA,2022
Central African Republic,CAF,2022,14.298,NA,2022
Chad,TCD,2022,15.102,NA,2022
Chile,CHL,2022,35.526,NA,2022
China,CHN,2022,38.534,NA,2022
Colombia,COL,2022,31.181,NA,2022
Comoros,COM,2022,20.102,NA,2022
Congo,COG,2022,18.202,NA,2022
Costa Rica,CRI,2022,33.536,NA,2022
Cote d'Ivoire,CIV,2022,17.992,NA,2022
Croatia,HRV,2022,44.611,NA,2022
Cuba,CUB,2022,41.505,NA,2022
Cyprus,CYP,2022,37.339,NA,2022
Czechia,CZE,2022,42.645,NA,2022
Democratic Republic of Congo,COD,2022,15.766,NA,2022
Denmark,DNK,2022,41.216,NA,2022
Djibouti,DJI,2022,24.085,NA,2022
Dominica,DMA,2022,35.295,NA,2022
Dominican Republic,DOM,2022,27.317,NA,2022
East Timor,TLS,2022,20.64,NA,2022
Ecuador,ECU,2022,27.975,NA,2022
Egypt,EGY,2022,23.813,NA,2022
El Salvador,SLV,2022,26.51,NA,2022
Equatorial Guinea,GNQ,2022,21.016,NA,2022
Eritrea,ERI,2022,18.405,NA,2022
Estonia,EST,2022,41.625,NA,2022
Eswatini,SWZ,2022,21.768,NA,2022
Ethiopia,ETH,2022,18.528,NA,2022
Fiji,FJI,2022,27.475,NA,2022
Finland,FIN,2022,42.526,NA,2022
France,FRA,2022,41.567,NA,2022
French Guiana,GUF,2022,25.235,NA,2022
Gabon,GAB,2022,21.475,NA,2022
Gambia,GMB,2022,17.985,NA,2022
Georgia,GEO,2022,36.634,NA,2022
Germany,DEU,2022,45.024,NA,2022
Ghana,GHA,2022,20.736,NA,2022
Greece,GRC,2022,45.391,NA,2022
Greenland,GRL,2022,33.924,NA,2022
Grenada,GRD,2022,32.886,NA,2022
Guatemala,GTM,2022,22.244,NA,2022
Guinea,GIN,2022,17.836,NA,2022
Guinea-Bissau,GNB,2022,18.733,NA,2022
Guyana,GUY,2022,25.304,NA,2022
Haiti,HTI,2022,23.25,NA,2022
Honduras,HND,2022,23.206,NA,2022
Hungary,HUN,2022,42.993,NA,2022
Iceland,ISL,2022,35.747,NA,2022
India,IND,2022,27.684,NA,2022
Indonesia,IDN,2022,29.561,NA,2022
Iran,IRN,2022,32.341,NA,2022
Iraq,IRQ,2022,20.093,NA,2022
Ireland,IRL,2022,37.997,NA,2022
Israel,ISR,2022,29.086,NA,2022
Italy,ITA,2022,47.116,NA,2022
Jamaica,JAM,2022,31.153,NA,2022
Japan,JPN,2022,48.548,NA,2022
Jordan,JOR,2022,23.943,NA,2022
Kazakhstan,KAZ,2022,29.348,NA,2022
Kenya,KEN,2022,19.272,NA,2022
Kiribati,KIR,2022,22.529,NA,2022
Kosovo,OWID_KOS,2022,30.808,NA,2022
Kuwait,KWT,2022,33.463,NA,2022
Kyrgyzstan,KGZ,2022,24.975,NA,2022
Laos,LAO,2022,23.972,NA,2022
Latvia,LVA,2022,42.946,NA,2022
Lebanon,LBN,2022,28.106,NA,2022
Lesotho,LSO,2022,21.264,NA,2022
Liberia,LBR,2022,18.18,NA,2022
Libya,LBY,2022,26.917,NA,2022
