name,slug, years,date,ranking,region
Monaco,monaco,56.9,2024,1,Europe
Saint Pierre and Miquelon,saint-pierre-and-miquelon,51.2,2024,2,North America
Japan,japan,49.9,2024,3,East and Southeast Asia
Andorra,andorra,48.8,2024,4,Europe
Italy,italy,48.4,2024,5,Europe
Saint Barthelemy,saint-barthelemy,47.4,2024,6,Central America and the Caribbean
Hong Kong,hong-kong,47.2,2024,7,East and Southeast Asia
Spain,spain,46.8,2024,8,Europe
Germany,germany,46.8,2024,9,Europe
Greece,greece,46.5,2024,10,Europe
Portugal,portugal,46.4,2024,11,Europe
Slovenia,slovenia,46.3,2024,12,Europe
Puerto Rico,puerto-rico,46.1,2024,13,Central America and the Caribbean
San Marino,san-marino,46.1,2024,14,Europe
South Korea,south korea,45.5,2024,15,East and Southeast Asia
Romania,romania,45.5,2024,16,Europe
Latvia,latvia,45.5,2024,17,Europe
Lithuania,lithuania,45.1,2024,18,Europe
Bulgaria,bulgaria,45.1,2024,19,Europe
Croatia,croatia,45.1,2024,20,Europe
Saint Helena, Ascension and Tristan da Cunha saint-helena-ascension-and-tristan-da-cunha,45.1,2024,21,Africa
Estonia,estonia,45,2024,22,Europe
Guernsey,guernsey,45,2024,23,Europe
Austria,austria,44.9,2024,24,Europe
Ukraine,ukraine,44.9,2024,25,Europe
Isle of Man,isle-of-man,44.9,2024,26,Europe
Hungary,hungary,44.8,2024,27,Europe
Bosnia and Herzegovina,bosnia-and-herzegovina,44.8,2024,28,Europe
Taiwan,taiwan,44.6,2024,29,East and Southeast Asia
Liechtenstein,liechtenstein,44.2,2024,30,Europe
Czechia,czechia,44.2,2024,31,Europe
Switzerland,switzerland,44.2,2024,32,Europe
Serbia,serbia,43.9,2024,33,Europe
Bermuda,bermuda,43.8,2024,34,North America
Malta,malta,43.5,2024,35,Europe
Finland,finland,43.3,2024,36,Europe
Virgin Islands,virgin-islands,43,2024,37,Central America and the Caribbean
Poland,poland,42.9,2024,38,Europe
Slovakia,slovakia,42.8,2024,39,Europe
Canada,canada,42.6,2024,40,North America
France,france,42.6,2024,41,Europe
Cuba,cuba,42.6,2024,42,Central America and the Caribbean
Macau,macau,42.5,2024,43,East and Southeast Asia
Netherlands,netherlands,42.2,2024,44,Europe
Denmark,denmark,42.2,2024,45,Europe
Belarus,belarus,42.1,2024,46,Europe
Belgium,belgium,42,2024,47,Europe
Russia,russia,41.9,2024,48,Central Asia
Thailand,thailand,41.5,2024,49,East and Southeast Asia
Barbados,barbados,41.4,2024,50,Central America and the Caribbean
Cayman Islands,cayman-islands,41.2,2024,51,Central America and the Caribbean
Sweden,sweden,41.1,2024,52,Europe
Cook Islands,cook-islands,41.1,2024,53,Australia and Oceania
Montenegro,montenegro,41.1,2024,54,Europe
Sint Maarten,sint-maarten,41,2024,55,Central America and the Caribbean
Aruba,aruba,40.9,2024,56,Central America and the Caribbean
Norway,norway,40.8,2024,57,Europe
United Kingdom,united-kingdom,40.8,2024,58,Europe
North Macedonia,north-macedonia,40.5,2024,59,Europe
Ireland,ireland,40.2,2024,60,Europe
China,china,40.2,2024,61,East and Southeast Asia
Cocos (Keeling) Islands,cocos-keeling-islands,40,2021,62,Australia and Oceania
Moldova,moldova,39.9,2024,63,Europe
Luxembourg,luxembourg,39.9,2024,64,Europe
Saint Lucia,saint-lucia,39.7,2024,65,Central America and the Caribbean
Mauritius,mauritius,39.6,2024,66,Africa
Cyprus,cyprus,39.5,2024,67,Europe
Singapore,singapore,39.4,2024,68,East and Southeast Asia
United States,united-states,38.9,2022,69,North America
Armenia,armenia,38.9,2024,70,Middle East
Seychelles,seychelles,38.7,2024,71,Africa
Saint Kitts and Nevis,saint-kitts-and-nevis,38.6,2024,72,Central America and the Caribbean
Trinidad and Tobago,trinidad-and-tobago,38.5,2024,73,Central America and the Caribbean
British Virgin Islands,british-virgin-islands,38.5,2024,74,Central America and the Caribbean
Georgia,georgia,38.3,2024,75,Middle East
Jersey,jersey,38.2,2024,76,Europe
Australia,australia,38.1,2024,77,Australia and Oceania
Christmas Island,christmas-island,38,2021,78,Australia and Oceania
Iceland,iceland,38,2024,79,Europe
New Zealand,new-zealand,37.9,2024,80,Australia and Oceania
Curacao,curacao,37.8,2024,81,Central America and the Caribbean
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,37.6,2024,82,Central America and the Caribbean
Anguilla,anguilla,37.1,2024,83,Central America and the Caribbean
Dominica,dominica,37,2024,84,Central America and the Caribbean
Chile,chile,36.9,2024,85,South America
Faroe Islands,faroe-islands,36.8,2024,86,Europe
Montserrat,montserrat,36.8,2024,87,Central America and the Caribbean
Gibraltar,gibraltar,36.8,2024,88,Europe
Uruguay,uruguay,36.5,2024,89,South America
Lebanon,lebanon,36.3,2024,90,Middle East
Albania,albania,36.3,2024,91,Europe
Wallis and Futuna,wallis-and-futuna,36.3,2024,92,Australia and Oceania
Turks and Caicos Islands,turks-and-caicos-islands,36.3,2024,93,Central America and the Caribbean
North Korea,north korea,35.9,2024,94,East and Southeast Asia
United Arab Emirates,united-arab-emirates,35.8,2024,95,Middle East
Costa Rica,costa-rica,35.5,2024,96,Central America and the Caribbean
Grenada,grenada,35.4,2024,97,Central America and the Caribbean
French Polynesia,french-polynesia,35.3,2024,98,Australia and Oceania
Palau,palau,35.3,2024,99,Australia and Oceania
Greenland,greenland,35.3,2024,100,North America
Brazil,brazil,35.1,2024,101,South America
Tunisia,tunisia,34.4,2024,102,Africa
New Caledonia,new-caledonia,34.3,2024,103,Australia and Oceania
Azerbaijan,azerbaijan,34.3,2024,104,Middle East
Qatar,qatar,34.3,2024,105,Middle East
Saint Martin,saint-martin,34.2,2024,106,Central America and the Caribbean
Sri Lanka,sri-lanka,34.1,2024,107,South Asia
Turkey (Turkiye),turkey-turkiye,34,2024,108,Middle East
Antigua and Barbuda,antigua-and-barbuda,33.9,2024,109,Central America and the Caribbean
Iran,iran,33.8,2024,110,Middle East
Bahrain,bahrain,33.4,2024,111,Middle East
Argentina,argentina,33.3,2024,112,South America
Vietnam,vietnam,33.1,2024,113,East and Southeast Asia
Colombia,colombia,32.7,2024,114,South America
Saudi Arabia,saudi-arabia,32.4,2024,115,Middle East
Northern Mariana Islands,northern-mariana-islands,32.4,2024,116,Australia and Oceania
Brunei,brunei,32.3,2024,117,East and Southeast Asia
Suriname,suriname,32,2024,118,South America
Kosovo,kosovo,32,2024,119,Europe
Maldives,maldives,31.9,2024,120,South Asia
Kazakhstan,kazakhstan,31.9,2024,121,Central Asia
Malaysia,malaysia,31.8,2024,122,East and Southeast Asia
Paraguay,paraguay,31.8,2024,123,South America
Fiji,fiji,31.6,2024,124,Australia and Oceania
Indonesia,indonesia,31.5,2024,125,East and Southeast Asia
Mongolia,mongolia,31.5,2024,126,East and Southeast Asia
Panama,panama,31.5,2024,127,Central America and the Caribbean
Turkmenistan,turkmenistan,31.2,2024,128,Central Asia
Venezuela,venezuela,31,2024,129,South America
Jamaica,jamaica,30.9,2024,130,Central America and the Caribbean
Burma,burma,30.8,2024,131,East and Southeast Asia
Mexico,mexico,30.8,2024,132,North America
Bahamas, The bahamas-the,30.7,2024,133,Central America and the Caribbean
Bhutan,bhutan,30.7,2024,134,South Asia
Morocco,morocco,30.6,2024,135,Africa
South Africa,south-africa,30.4,2024,136,Africa
Guam,guam,30.3,2024,137,Australia and Oceania
Kuwait,kuwait,30.3,2024,138,Middle East
Peru,peru,30.2,2024,139,South America
Israel,israel,30.1,2024,140,Middle East
American Samoa,american-samoa,30,2024,141,Australia and Oceania
India,india,29.8,2024,142,South Asia
El Salvador,el-salvador,29.7,2024,143,Central America and the Caribbean
Bangladesh,bangladesh,29.6,2024,144,South Asia
Dominican Republic,dominican-republic,29.2,2024,145,Central America and the Caribbean
Algeria,algeria,29.1,2024,146,Africa
Nicaragua,nicaragua,29,2024,147,Central America and the Caribbean
Uzbekistan,uzbekistan,28.9,2024,148,Central Asia
Cabo Verde,cabo-verde,28.8,2024,149,Africa
Guyana,guyana,28.3,2024,150,South America
Kyrgyzstan,kyrgyzstan,28.3,2024,151,Central Asia
Micronesia, Federated States of micronesia-federated-states-of,28.2,2024,152,Australia and Oceania
Ecuador,ecuador,28,2024,153,South America
Cambodia,cambodia,27.9,2024,154,East and Southeast Asia
Tuvalu,tuvalu,27.8,2024,155,Australia and Oceania
Nauru,nauru,27.8,2024,156,Australia and Oceania
Nepal,nepal,27.6,2024,157,South Asia
Samoa,samoa,27.4,2024,158,Australia and Oceania
Oman,oman,27.3,2024,159,Middle East
Kiribati,kiribati,27.3,2024,160,Australia and Oceania
Botswana,botswana,27.1,2024,161,Africa
Belize,belize,26.8,2024,162,Central America and the Caribbean
Bolivia,bolivia,26.6,2024,163,South America
Djibouti,djibouti,26.3,2024,164,Africa
Libya,libya,26.2,2024,165,Africa
