Entity,Code,Year,Median age - Sex: all - Age: all - Variant: estimates,Median age - Sex: all - Age: all - Variant: medium,time
Afghanistan,AFG,2022,16.752,,2022
Albania,ALB,2022,35.943,,2022
Algeria,DZA,2022,27.983,,2022
Andorra,AND,2022,42.832,,2022
Angola,AGO,2022,16.39,,2022
Antigua and Barbuda,ATG,2022,35.072,,2022
Argentina,ARG,2022,31.739,,2022
Armenia,ARM,2022,35.815,,2022
Australia,AUS,2022,37.512,,2022
Austria,AUT,2022,42.832,,2022
Azerbaijan,AZE,2022,32.062,,2022
Bahamas,BHS,2022,34.234,,2022
Bahrain,BHR,2022,31.683,,2022
Bangladesh,BGD,2022,24.99,,2022
Barbados,BRB,2022,38.652,,2022
Belarus,BLR,2022,40.192,,2022
Belgium,BEL,2022,41.151,,2022
Belize,BLZ,2022,25.521,,2022
Benin,BEN,2022,17.646,,2022
Bhutan,BTN,2022,28.81,,2022
Bolivia,BOL,2022,24.392,,2022
Bosnia and Herzegovina,BIH,2022,44.559,,2022
Botswana,BWA,2022,22.604,,2022
Brazil,BRA,2022,33.506,,2022
Brunei,BRN,2022,31.276,,2022
Bulgaria,BGR,2022,44.154,,2022
Burkina Faso,BFA,2022,17.041,,2022
Burundi,BDI,2022,15.672,,2022
Cambodia,KHM,2022,25.596,,2022
Cameroon,CMR,2022,17.623,,2022
Canada,CAN,2022,40.253,,2022
Cape Verde,CPV,2022,27.322,,2022
Central African Republic,CAF,2022,14.298,,2022
Chad,TCD,2022,15.102,,2022
Chile,CHL,2022,35.526,,2022
China,CHN,2022,38.534,,2022
Colombia,COL,2022,31.181,,2022
Comoros,COM,2022,20.102,,2022
Congo,COG,2022,18.202,,2022
Costa Rica,CRI,2022,33.536,,2022
Cote d'Ivoire,CIV,2022,17.992,,2022
Croatia,HRV,2022,44.611,,2022
Cuba,CUB,2022,41.505,,2022
Cyprus,CYP,2022,37.339,,2022
Czechia,CZE,2022,42.645,,2022
Democratic Republic of Congo,COD,2022,15.766,,2022
Denmark,DNK,2022,41.216,,2022
Djibouti,DJI,2022,24.085,,2022
Dominica,DMA,2022,35.295,,2022
Dominican Republic,DOM,2022,27.317,,2022
East Timor,TLS,2022,20.64,,2022
Ecuador,ECU,2022,27.975,,2022
Egypt,EGY,2022,23.813,,2022
El Salvador,SLV,2022,26.51,,2022
Equatorial Guinea,GNQ,2022,21.016,,2022
Eritrea,ERI,2022,18.405,,2022
Estonia,EST,2022,41.625,,2022
Eswatini,SWZ,2022,21.768,,2022
Ethiopia,ETH,2022,18.528,,2022
Fiji,FJI,2022,27.475,,2022
Finland,FIN,2022,42.526,,2022
France,FRA,2022,41.567,,2022
French Guiana,GUF,2022,25.235,,2022
Gabon,GAB,2022,21.475,,2022
Gambia,GMB,2022,17.985,,2022
Georgia,GEO,2022,36.634,,2022
Germany,DEU,2022,45.024,,2022
Ghana,GHA,2022,20.736,,2022
Greece,GRC,2022,45.391,,2022
Greenland,GRL,2022,33.924,,2022
Grenada,GRD,2022,32.886,,2022
Guatemala,GTM,2022,22.244,,2022
Guinea,GIN,2022,17.836,,2022
Guinea-Bissau,GNB,2022,18.733,,2022
Guyana,GUY,2022,25.304,,2022
Haiti,HTI,2022,23.25,,2022
Honduras,HND,2022,23.206,,2022
Hungary,HUN,2022,42.993,,2022
Iceland,ISL,2022,35.747,,2022
India,IND,2022,27.684,,2022
Indonesia,IDN,2022,29.561,,2022
Iran,IRN,2022,32.341,,2022
Iraq,IRQ,2022,20.093,,2022
Ireland,IRL,2022,37.997,,2022
Israel,ISR,2022,29.086,,2022
Italy,ITA,2022,47.116,,2022
Jamaica,JAM,2022,31.153,,2022
Japan,JPN,2022,48.548,,2022
Jordan,JOR,2022,23.943,,2022
Kazakhstan,KAZ,2022,29.348,,2022
Kenya,KEN,2022,19.272,,2022
Kiribati,KIR,2022,22.529,,2022
Kosovo,OWID_KOS,2022,30.808,,2022
Kuwait,KWT,2022,33.463,,2022
Kyrgyzstan,KGZ,2022,24.975,,2022
Laos,LAO,2022,23.972,,2022
Latvia,LVA,2022,42.946,,2022
Lebanon,LBN,2022,28.106,,2022
Lesotho,LSO,2022,21.264,,2022
Liberia,LBR,2022,18.18,,2022
Libya,LBY,2022,26.917,,2022
Liechtenstein,LIE,2022,44.014,,2022
Lithuania,LTU,2022,42.633,,2022
Luxembourg,LUX,2022,38.676,,2022
Madagascar,MDG,2022,18.718,,2022
Malawi,MWI,2022,17.335,,2022
Malaysia,MYS,2022,29.573,,2022
Maldives,MDV,2022,30.339,,2022
Mali,MLI,2022,15.349,,2022
Malta,MLT,2022,39.746,,2022
Marshall Islands,MHL,2022,20.965,,2022
Mauritania,MRT,2022,16.992,,2022
Mauritius,MUS,2022,36.513,,2022
Mexico,MEX,2022,28.528,,2022
Micronesia (country),FSM,2022,22.608,,2022
Moldova,MDA,2022,37.478,,2022
Monaco,MCO,2022,54.975,,2022
Mongolia,MNG,2022,26.617,,2022
Montenegro,MNE,2022,39.08,,2022
Morocco,MAR,2022,28.875,,2022
Mozambique,MOZ,2022,16.249,,2022
Myanmar,MMR,2022,29.251,,2022
Namibia,NAM,2022,20.825,,2022
Nauru,NRU,2022,20.573,,2022
Nepal,NPL,2022,24.356,,2022
Netherlands,NLD,2022,41.463,,2022
New Caledonia,NCL,2022,33.589,,2022
New Zealand,NZL,2022,37.068,,2022
Nicaragua,NIC,2022,24.912,,2022
Niger,NER,2022,15.102,,2022
Nigeria,NGA,2022,17.567,,2022
North Korea,PRK,2022,35.805,,2022
North Macedonia,MKD,2022,39.91,,2022
Norway,NOR,2022,39.436,,2022
Oman,OMN,2022,28.973,,2022
Pakistan,PAK,2022,20.148,,2022
Palau,PLW,2022,37.484,,2022
Palestine,PSE,2022,19.605,,2022
Panama,PAN,2022,29.273,,2022
Papua New Guinea,PNG,2022,22.127,,2022
Paraguay,PRY,2022,26.045,,2022
Peru,PER,2022,29.096,,2022
Philippines,PHL,2022,24.866,,2022
Poland,POL,2022,40.864,,2022
Portugal,PRT,2022,45.806,,2022
Puerto Rico,PRI,2022,45.197,,2022
Qatar,QAT,2022,32.458,,2022
Romania,ROU,2022,42.391,,2022
Russia,RUS,2022,39.071,,2022
Rwanda,RWA,2022,19.22,,2022
Saint Kitts and Nevis,KNA,2022,34.971,,2022
Saint Lucia,LCA,2022,33.316,,2022
Saint Vincent and the Grenadines,VCT,2022,33.633,,2022
Samoa,WSM,2022,20.091,,2022
San Marino,SMR,2022,46.782,,2022
Sao Tome and Principe,STP,2022,18.869,,2022
Saudi Arabia,SAU,2022,28.731,,2022
Senegal,SEN,2022,18.888,,2022
Serbia,SRB,2022,43.675,,2022
Seychelles,SYC,2022,33.388,,2022
Sierra Leone,SLE,2022,19.04,,2022
Singapore,SGP,2022,34.878,,2022
Slovakia,SVK,2022,40.904,,2022
Slovenia,SVN,2022,43.497,,2022
Solomon Islands,SLB,2022,20.03,,2022
Somalia,SOM,2022,15.371,,2022
South Africa,ZAF,2022,27.919,,2022
South Korea,KOR,2022,43.944,,2022
South Sudan,SSD,2022,17.59,,2022
Spain,ESP,2022,44.392,,2022
Sri Lanka,LKA,2022,32.561,,2022
Sudan,SDN,2022,18.12,,2022
Suriname,SUR,2022,27.865,,2022
Sweden,SWE,2022,39.728,,2022
Switzerland,CHE,2022,41.961,,2022
Syria,SYR,2022,21.588,,2022
Taiwan,TWN,2022,42.917,,2022
Tajikistan,TJK,2022,21.742,,2022
Tanzania,TZA,2022,17.124,,2022
Thailand,THA,2022,39.194,,2022
Togo,TGO,2022,18.7,,2022
Tonga,TON,2022,20.726,,2022
Trinidad and Tobago,TTO,2022,36.226,,2022
Tunisia,TUN,2022,31.744,,2022
Turkey,TUR,2022,32.072,,2022
Turkmenistan,TKM,2022,25.931,,2022
Tuvalu,TUV,2022,24.256,,2022
Uganda,UGA,2022,16.338,,2022
Ukraine,UKR,2022,41.451,,2022
United Arab Emirates,ARE,2022,30.903,,2022
United Kingdom,GBR,2022,39.504,,2022
United States,USA,2022,37.72,,2022
Uruguay,URY,2022,35.496,,2022
Uzbekistan,UZB,2022,26.836,,2022
Vanuatu,VUT,2022,20.121,,2022
Venezuela,VEN,2022,28.81,,2022
Vietnam,VNM,2022,31.938,,2022
Western Sahara,ESH,2022,31.698,,2022
Yemen,YEM,2022,18.118,,2022
Zambia,ZMB,2022,17.288,,2022
Zimbabwe,ZWE,2022,17.683,,2022
