Entity,Code,Year,UHC service coverage index
Afghanistan,AFG,2000,23
Afghanistan,AFG,2005,28
Afghanistan,AFG,2010,29
Afghanistan,AFG,2015,36
Afghanistan,AFG,2017,41
Afghanistan,AFG,2019,42
Afghanistan,AFG,2021,41
Albania,ALB,2000,43
Albania,ALB,2005,52
Albania,ALB,2010,57
Albania,ALB,2015,61
Albania,ALB,2017,61
Albania,ALB,2019,64
Albania,ALB,2021,64
Algeria,DZA,2000,56
Algeria,DZA,2005,61
Algeria,DZA,2010,67
Algeria,DZA,2015,74
Algeria,DZA,2017,74
Algeria,DZA,2019,74
Algeria,DZA,2021,74
Andorra,AND,2000,67
Andorra,AND,2005,71
Andorra,AND,2010,74
Andorra,AND,2015,75
Andorra,AND,2017,76
Andorra,AND,2019,78
Andorra,AND,2021,79
Angola,AGO,2000,21
Angola,AGO,2005,24
Angola,AGO,2010,31
Angola,AGO,2015,36
Angola,AGO,2017,40
Angola,AGO,2019,39
Angola,AGO,2021,37
Antigua and Barbuda,ATG,2000,54
Antigua and Barbuda,ATG,2005,67
Antigua and Barbuda,ATG,2010,73
Antigua and Barbuda,ATG,2015,78
Antigua and Barbuda,ATG,2017,77
Antigua and Barbuda,ATG,2019,75
Antigua and Barbuda,ATG,2021,76
Argentina,ARG,2000,68
Argentina,ARG,2005,74
Argentina,ARG,2010,76
Argentina,ARG,2015,80
Argentina,ARG,2017,79
Argentina,ARG,2019,78
Argentina,ARG,2021,79
Armenia,ARM,2000,44
Armenia,ARM,2005,51
Armenia,ARM,2010,60
Armenia,ARM,2015,67
Armenia,ARM,2017,69
Armenia,ARM,2019,70
Armenia,ARM,2021,68
Australia,AUS,2000,81
Australia,AUS,2005,83
Australia,AUS,2010,84
Australia,AUS,2015,87
Australia,AUS,2017,87
Australia,AUS,2019,87
Australia,AUS,2021,87
Austria,AUT,2000,70
Austria,AUT,2005,77
Austria,AUT,2010,81
Austria,AUT,2015,84
Austria,AUT,2017,84
Austria,AUT,2019,84
Austria,AUT,2021,85
Azerbaijan,AZE,2000,42
Azerbaijan,AZE,2005,38
Azerbaijan,AZE,2010,51
Azerbaijan,AZE,2015,62
Azerbaijan,AZE,2017,64
Azerbaijan,AZE,2019,67
Azerbaijan,AZE,2021,66
Bahamas,BHS,2000,54
Bahamas,BHS,2005,71
Bahamas,BHS,2010,73
Bahamas,BHS,2015,77
Bahamas,BHS,2017,79
Bahamas,BHS,2019,79
Bahamas,BHS,2021,77
Bahrain,BHR,2000,60
Bahrain,BHR,2005,64
Bahrain,BHR,2010,68
Bahrain,BHR,2015,73
Bahrain,BHR,2017,74
Bahrain,BHR,2019,76
Bahrain,BHR,2021,76
Bangladesh,BGD,2000,23
Bangladesh,BGD,2005,27
Bangladesh,BGD,2010,37
Bangladesh,BGD,2015,45
Bangladesh,BGD,2017,48
Bangladesh,BGD,2019,50
Bangladesh,BGD,2021,52
Barbados,BRB,2000,54
Barbados,BRB,2005,72
Barbados,BRB,2010,75
Barbados,BRB,2015,80
Barbados,BRB,2017,80
Barbados,BRB,2019,79
Barbados,BRB,2021,77
Belarus,BLR,2000,53
Belarus,BLR,2005,59
Belarus,BLR,2010,70
Belarus,BLR,2015,76
Belarus,BLR,2017,78
Belarus,BLR,2019,81
Belarus,BLR,2021,79
Belgium,BEL,2000,77
Belgium,BEL,2005,81
Belgium,BEL,2010,83
Belgium,BEL,2015,86
Belgium,BEL,2017,87
Belgium,BEL,2019,87
Belgium,BEL,2021,86
Belize,BLZ,2000,47
Belize,BLZ,2005,58
Belize,BLZ,2010,64
Belize,BLZ,2015,69
Belize,BLZ,2017,68
Belize,BLZ,2019,69
Belize,BLZ,2021,68
Benin,BEN,2000,21
Benin,BEN,2005,22
Benin,BEN,2010,33
Benin,BEN,2015,35
Benin,BEN,2017,34
Benin,BEN,2019,35
Benin,BEN,2021,38
Bhutan,BTN,2000,35
Bhutan,BTN,2005,37
Bhutan,BTN,2010,44
Bhutan,BTN,2015,53
Bhutan,BTN,2017,56
Bhutan,BTN,2019,60
Bhutan,BTN,2021,60
Bolivia,BOL,2000,37
Bolivia,BOL,2005,39
Bolivia,BOL,2010,47
Bolivia,BOL,2015,60
Bolivia,BOL,2017,64
Bolivia,BOL,2019,65
Bolivia,BOL,2021,65
Bosnia and Herzegovina,BIH,2000,44
Bosnia and Herzegovina,BIH,2005,61
Bosnia and Herzegovina,BIH,2010,62
Bosnia and Herzegovina,BIH,2015,68
Bosnia and Herzegovina,BIH,2017,70
Bosnia and Herzegovina,BIH,2019,67
Bosnia and Herzegovina,BIH,2021,66
Botswana,BWA,2000,35
Botswana,BWA,2005,48
Botswana,BWA,2010,54
Botswana,BWA,2015,58
Botswana,BWA,2017,58
Botswana,BWA,2019,55
Botswana,BWA,2021,55
Brazil,BRA,2000,68
Brazil,BRA,2005,73
Brazil,BRA,2010,76
Brazil,BRA,2015,82
Brazil,BRA,2017,82
Brazil,BRA,2019,81
Brazil,BRA,2021,80
Brunei,BRN,2000,49
Brunei,BRN,2005,64
Brunei,BRN,2010,70
Brunei,BRN,2015,75
Brunei,BRN,2017,78
Brunei,BRN,2019,77
Brunei,BRN,2021,78
Bulgaria,BGR,2000,56
Bulgaria,BGR,2005,61
Bulgaria,BGR,2010,65
Bulgaria,BGR,2015,70
Bulgaria,BGR,2017,72
Bulgaria,BGR,2019,76
Bulgaria,BGR,2021,73
Burkina Faso,BFA,2000,15
Burkina Faso,BFA,2005,21
Burkina Faso,BFA,2010,30
Burkina Faso,BFA,2015,35
Burkina Faso,BFA,2017,38
Burkina Faso,BFA,2019,38
Burkina Faso,BFA,2021,40
Burundi,BDI,2000,19
Burundi,BDI,2005,24
Burundi,BDI,2010,33
Burundi,BDI,2015,40
Burundi,BDI,2017,40
Burundi,BDI,2019,42
Burundi,BDI,2021,41
Cambodia,KHM,2000,24
Cambodia,KHM,2005,37
Cambodia,KHM,2010,50
Cambodia,KHM,2015,56
Cambodia,KHM,2017,60
Cambodia,KHM,2019,58
Cambodia,KHM,2021,58
Cameroon,CMR,2000,22
Cameroon,CMR,2005,28
Cameroon,CMR,2010,33
Cameroon,CMR,2015,42
Cameroon,CMR,2017,43
Cameroon,CMR,2019,43
Cameroon,CMR,2021,44
Canada,CAN,2000,74
Canada,CAN,2005,79
Canada,CAN,2010,83
Canada,CAN,2015,90
Canada,CAN,2017,90
Canada,CAN,2019,91
Canada,CAN,2021,91
Cape Verde,CPV,2000,43
Cape Verde,CPV,2005,54
