Entity,Day,"COVID-19 doses (cumulative, per hundred)"
Afghanistan,2021-02-22,0
Afghanistan,2021-02-28,0.020207573
Afghanistan,2021-03-16,0.13307427
Afghanistan,2021-04-07,0.29572058
Afghanistan,2021-04-22,0.59144115
Afghanistan,2021-05-11,1.2432636
Afghanistan,2021-05-20,1.3502134
Afghanistan,2021-05-24,1.4127485
Afghanistan,2021-05-26,1.4550784
Afghanistan,2021-05-27,1.4621239
Afghanistan,2021-05-30,1.4789774
Afghanistan,2021-06-02,1.5433904
Afghanistan,2021-06-03,1.5532846
Afghanistan,2021-06-08,1.5803678
Afghanistan,2021-06-14,1.6313993
Afghanistan,2021-06-22,1.887412
Afghanistan,2021-06-27,2.0594327
Afghanistan,2021-06-30,2.1855083
Afghanistan,2021-07-05,2.2565231
Afghanistan,2021-07-07,2.3028328
Afghanistan,2021-07-11,2.3709226
Afghanistan,2021-07-14,2.5238962
Afghanistan,2021-07-18,2.6966193
Afghanistan,2021-07-24,2.8858976
Afghanistan,2021-08-20,2.960375
Afghanistan,2021-08-31,4.878532
Afghanistan,2021-09-30,5.839557
Afghanistan,2021-11-14,9.902196
Afghanistan,2021-12-27,11.519593
Afghanistan,2022-01-09,12.083557
Afghanistan,2022-01-11,12.137139
Afghanistan,2022-01-13,12.210325
Afghanistan,2022-01-17,12.284842
Afghanistan,2022-01-19,12.331672
Afghanistan,2022-01-24,12.435184
Afghanistan,2022-01-26,12.504535
Afghanistan,2022-01-27,12.521461
Afghanistan,2022-01-31,12.630093
Afghanistan,2022-02-02,12.697002
Afghanistan,2022-02-07,12.856447
Afghanistan,2022-02-14,13.1135025
Afghanistan,2022-02-20,13.33776
Afghanistan,2022-02-27,13.640738
Afghanistan,2022-03-06,13.793221
Afghanistan,2022-03-17,14.123482
Afghanistan,2022-03-22,14.172446
Afghanistan,2022-04-04,14.47228
Afghanistan,2022-04-14,14.639154
Afghanistan,2022-04-18,14.660074
Afghanistan,2022-04-26,14.750927
Afghanistan,2022-04-27,14.751871
Afghanistan,2022-05-05,14.838934
Afghanistan,2022-05-08,14.843757
Afghanistan,2022-05-10,14.859311
Afghanistan,2022-05-15,14.950102
Afghanistan,2022-05-23,15.078194
Afghanistan,2022-06-01,15.209038
Afghanistan,2022-06-15,15.5135565
Afghanistan,2022-06-21,15.663163
Afghanistan,2022-06-27,15.792649
Afghanistan,2022-06-30,15.883544
Afghanistan,2022-07-10,15.996293
Afghanistan,2022-07-17,16.52793
Afghanistan,2022-07-19,19.431417
Afghanistan,2022-07-27,19.81477
Afghanistan,2022-08-07,24.206848
Afghanistan,2022-08-15,27.641727
Afghanistan,2022-08-22,28.07301
Afghanistan,2022-08-31,28.493973
Afghanistan,2022-09-04,28.558952
Afghanistan,2022-09-11,28.894829
Afghanistan,2022-09-12,28.91811
Afghanistan,2022-09-19,29.128935
Afghanistan,2022-09-26,29.249222
Afghanistan,2022-09-28,29.278889
Afghanistan,2022-10-04,29.384111
Afghanistan,2022-10-11,29.453682
Afghanistan,2022-10-16,29.517284
Afghanistan,2022-10-24,29.708479
Afghanistan,2022-11-01,29.827806
Afghanistan,2022-11-02,29.91797
Afghanistan,2022-11-08,30.0012
Afghanistan,2022-11-15,30.07019
Afghanistan,2022-11-16,30.106663
Afghanistan,2022-11-27,30.251997
