Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Albania,ALB,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,99570131444.2482
Angola,AGO,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,600415373937.665
Argentina,ARG,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,3175280015820.97
Armenia,ARM,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,102741926632.62
Australia,AUS,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,21903443785789.3
Austria,AUT,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,4242322622759.28
Azerbaijan,AZE,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,150773688280.437
Bahrain,BHR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,174362635043.812
Bangladesh,BGD,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,2521179964982.11
Belarus,BLR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,497473460558.829
Belgium,BEL,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,4993102012430.94
Belize,BLZ,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,15082600351.6965
Benin,BEN,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,264602917357.545
Bolivia,BOL,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,335967873560.637
Bosnia and Herzegovina,BIH,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,135607914815.211
Botswana,BWA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,100470177031.994
Brazil,BRA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,15346242666167.1
Bulgaria,BGR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,379627541746.524
Burkina Faso,BFA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,212654923671.683
Burundi,BDI,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,70129865672.5397
Cambodia,KHM,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,266161484846.227
Cameroon,CMR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,558141101254.733
Canada,CAN,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,21038024941772.5
Central African Republic,CAF,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,30884865630.8946
Chad,TCD,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,114734882193.768
Chile,CHL,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,2717020788616.09
China,CHN,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,116826444854739
Colombia,COL,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,2577051466411.11
Comoros,COM,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,10870407130.8084
"Congo, Dem. Rep.",COD,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,891167058470.415
"Congo, Rep.",COG,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,189115841349.591
Costa Rica,CRI,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,625607443074.414
Cote d'Ivoire,CIV,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,736520196264.956
Croatia,HRV,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,407931443458.233
Czechia,CZE,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,2164119472891.45
Denmark,DNK,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,4292868383810.09
Djibouti,DJI,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,15548747669.3045
Dominican Republic,DOM,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,621130000726.953
Ecuador,ECU,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,1063425674502.95
"Egypt, Arab Rep.",EGY,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,2262122651411.25
El Salvador,SLV,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,167182726923.569
Estonia,EST,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,275815616191.717
Eswatini,SWZ,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,38039655784.22
