iso3c,continent
DZA,Africa
EGY,Africa
MUS,Africa
SYC,Africa
TUN,Africa
ZAF,Africa
ARG,Americas
BRA,Americas
BRB,Americas
CAN,Americas
CHL,Americas
CRI,Americas
DOM,Americas
ECU,Americas
KNA,Americas
MEX,Americas
PRY,Americas
URY,Americas
USA,Americas
ARM,Asia
AZE,Asia
BRN,Asia
CYP,Asia
GEO,Asia
ISR,Asia
JOR,Asia
JPN,Asia
KAZ,Asia
KGZ,Asia
KOR,Asia
KWT,Asia
MNG,Asia
MYS,Asia
OMN,Asia
PHL,Asia
QAT,Asia
SGP,Asia
THA,Asia
TUR,Asia
UZB,Asia
ALB,Europe
AUT,Europe
BEL,Europe
BGR,Europe
BIH,Europe
CHE,Europe
CZE,Europe
DEU,Europe
DNK,Europe
ESP,Europe
EST,Europe
FIN,Europe
FRA,Europe
GBR,Europe
GRC,Europe
HRV,Europe
HUN,Europe
IRL,Europe
ISL,Europe
ITA,Europe
LTU,Europe
LUX,Europe
LVA,Europe
MDA,Europe
MKD,Europe
MLT,Europe
MNE,Europe
NLD,Europe
NOR,Europe
POL,Europe
PRT,Europe
ROU,Europe
RUS,Europe
SRB,Europe
SVK,Europe
SVN,Europe
SWE,Europe
AUS,Oceania
NZL,Oceania
